UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Produtividade (Área Colhida);Qtde Produzida;Área Colhida;Área Plantada
RJ;Itaguaí;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;18,071428571;3036;168;168
MG;Passos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;80,815101454;1628990;20157;20157
MG;São Sebastião do Paraíso;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;83,399730216;1669329;20016;20016
MG;Pouso Alegre;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;68,888888889;6820;99;99
SP;Jales;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;86,438594778;5309750;61428;61428
SP;Jundiaí;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;75;1950;26;26
SP;São José dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;97,619047619;205000;2100;2100
SP;Bananal;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;63,571428571;9790;154;154
SP;Catanduva;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;85,516883317;11118050;130010;130010
SP;Adamantina;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;73,490854573;6127300;83375;83375
SP;Birigui;Quantidade Produzida;Q3;2016;BRASIL;BRASIL;Cana-de-Açúcar;77,895685606;11325799;145397;145397
SP;São José do Rio Preto;Quantidade Produzida;Q4;2016;BRASIL;BRASIL;Cana-de-Açúcar;83,087970809;39758508;478511;478531
SP;São Joaquim da Barra;Quantidade Produzida;Q4;2016;BRASIL;BRASIL;Cana-de-Açúcar;83,257818138;27688220;332560;332560
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;35,7;21063;590;590
GO+DF;Anicuns;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;83,066381876;1730605;20834;20834
MT;Canarana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;21,678082192;9495;438;438
MT;Médio Araguaia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;25;1875;75;75
MT;Alto Teles Pires;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;28,888888889;1300;45;165
MT;Rosário Oeste;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;51,795918367;25380;490;530
MT;Alto Araguaia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;73,985539588;4144300;56015;56015
MT;Alta Floresta;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;20,333333333;305;15;15
MT;Parecis;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;71,900209627;3635706;50566;51766
BA;Ribeira do Pombal;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;40;2000;50;50
BA;Guanambi;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;49,351851852;53300;1080;1080
BA;Brumado;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;48,050370370;32434;675;675
BA;Valença;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;38,76;23256;600;600
CE;Coreaú;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;38,818181818;427;11;11
CE;Santa Quitéria;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;23,338582677;5928;254;254
CE;Fortaleza;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;31,157590759;37763;1212;1212
CE;Pacajus;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;32,681818182;7190;220;220
CE;Sertão de Cratéus;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;20,159420290;1391;69;69
CE;Sertão de Senador Pompeu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;22,990566038;4874;212;212
CE;Litoral de Aracati;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;69,048148148;18643;270;270
CE;Várzea Alegre;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;32,384615385;421;13;13
CE;Chapada do Araripe;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;20;60;3;3
CE;Cariri;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;39,039877301;12727;326;326
RN;Médio Oeste;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;44;44;1;1
RN;Serra de São Miguel;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;28,6;858;30;72
RN;Pau dos Ferros;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;26,666666667;240;9;18
CE;Litoral de Camocim e Acaraú;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;20;600;30;30
MA;Gurupi;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;39,4;197;5;5
MA;Codó;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;58,501756852;83248;1423;1423
MA;Coelho Neto;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;44,832605531;554400;12366;12366
MA;Caxias;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;55,214412496;155539;2817;2817
MA;Chapadas do Alto Itapecuru;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;34,350303030;28339;825;825
MA;Chapadas das Mangabeiras;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;63,728782767;1227735;19265;19265
PI;Campo Maior;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;30,551181102;15520;508;508
PI;Médio Parnaíba Piauiense;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;31,684615385;8238;260;260
PA;Óbidos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;31,467741935;1951;62;62
PA;Almeirim;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;46,533333333;698;15;15
PA;Portel;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;47;188;4;4
PA;Bragantina;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;20;120;6;6
PA;Cametá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;30,909090909;3400;110;110
AM;Rio Preto da Eva;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;63,356870788;216237;3413;3413
RO;Ariquemes;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;66,877049180;8159;122;123
RO;Ji-Paraná;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;68,038363171;26603;391;406
RO;Vilhena;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;66,293478261;12198;184;185
RO;Colorado do Oeste;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;71,218992248;73498;1032;1033
RR;Boa Vista;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;4,538461538;472;104;109
RR;Sudeste de Roraima;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;22,439252336;2401;107;107
PA;Conceição do Araguaia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;39,637583893;5906;149;149
MS;Baixo Pantanal;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;40;1600;40;40
MS;Aquidauana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;49,109589041;3585;73;73
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;66,096592398;504317;7630;7630
BA;Juazeiro;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;85,458280313;1410318;16503;16503
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;40,330677291;50615;1255;1255
BA;Senhor do Bonfim;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;45;2115;47;47
BA;Irecê;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;37,926829268;15550;410;410
BA;Itaberaba;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;43,6;2180;50;50
PB;Itabaiana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;55;13200;240;240
PB;Litoral Norte;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;54,054283291;1911900;35370;35370
PB;Sapé;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;56,756601607;1730225;30485;30485
PE;Suape;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;54,434782609;626000;11500;11500
SE;Nossa Senhora das Dores;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;34,149627624;100878;2954;3544
SE;Agreste de Itabaiana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;48;37296;777;777
ES;Montanha;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;41,271402550;657082;15921;15921
RJ;Santa Maria Madalena;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;40;80;2;2
SP;Fernandópolis;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;74,466630060;4475370;60099;60099
SP;Avaré;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;74,128404669;4762750;64250;64250
SP;Rio Claro;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;74,665298413;5020420;67239;67239
SP;Moji Mirim;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;75,144155660;2645450;35205;35205
SP;Tupã;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;78,240787769;4528968;57885;57885
SP;Marília;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;76,831040077;2557398;33286;33286
SP;Sorocaba;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;79,732334047;1712810;21482;21482
SP;Guaratinguetá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;60,693396226;12867;212;212
SP;Votuporanga;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;79,438609110;6737109;84809;84809
SP;Nhandeara;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;76,232780814;6011031;78851;78851
SP;Ituverava;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;81,573802375;9563060;117232;117232
SP;Franca;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;79,584676502;5949830;74761;74761
SP;Lins;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;80,085435537;9628752;120231;120231
SP;São Carlos;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;79,845766974;9525600;119300;121300
SP;Ourinhos;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Cana-de-Açúcar;79,245213936;8895513;112253;112253
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;38,046153846;2473;65;65
BA;Alagoinhas;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;29;290;10;10
BA;Salvador;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;48,066985646;10046;209;209
BA;Boquira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;42,311538462;11001;260;260
