UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Produtividade (Área Colhida);Qtde Produzida;Área Colhida;Área Plantada
SC;Criciúma;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;58,38028169;20725;355;355
SC;Araranguá;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;24;6000;250;250
SC;Itajaí;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;69,14279113;299250;4328;4328
SC;Concórdia;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;35,37735849;18750;530;530
SC;Blumenau;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;53,94957983;96300;1785;1785
SC;Florianópolis;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;51,82170543;133700;2580;2580
SC;Tabuleiro;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;35;1120;32;32
SC;Chapecó;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;56,93548387;26475;465;465
SC;Joinville;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;54,97206704;49200;895;895
SC;Tijucas;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;80,02449568;277685;3470;3470
SC;Tubarão;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;34,67028004;38380;1107;1107
SE;Baixo Cotinguiba;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;76,65551129;577216;7530;7530
SE;Nossa Senhora das Dores;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;53,97760754;91600;1697;1697
SE;Agreste de Itabaiana;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;65,49618321;85800;1310;1310
SE;Cotinguiba;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;56,47433904;363130;6430;6430
SE;Propriá;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;55;331210;6022;6022
SE;Boquim;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;45;900;20;20
SE;Japaratuba;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;46,63865546;666000;14280;14280
SE;Aracaju;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;81,36932515;66316;815;815
SP;Batatais;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;76,47368421;1816250;23750;23750
SP;São João da Boa Vista;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;82,38884282;2484106;30151;30151
SP;Tatuí;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;93,75169607;2763800;29480;29480
SP;Araçatuba;Quantidade Produzida;Q3;1990;BRASIL;BRASIL;Cana-de-Açúcar;77,75964042;3762789;48390;48390
SP;Assis;Quantidade Produzida;Q3;1990;BRASIL;BRASIL;Cana-de-Açúcar;72,31133596;6953675;96163;96163
SP;Piracicaba;Quantidade Produzida;Q3;1990;BRASIL;BRASIL;Cana-de-Açúcar;67,09704641;7951000;118500;118500
SP;Jaboticabal;Quantidade Produzida;Q4;1990;BRASIL;BRASIL;Cana-de-Açúcar;82,89738345;10698985;129063;129063
SP;Bauru;Quantidade Produzida;Q3;1990;BRASIL;BRASIL;Cana-de-Açúcar;78,24063981;3732235;47702;47702
SP;Jales;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;82,40694789;66420;806;806
SP;Adamantina;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;67,85473315;1005675;14821;14821
SP;Jundiaí;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;58,72340426;27600;470;470
SP;São José dos Campos;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;56,24411135;52532;934;934
SP;Bananal;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;40;10000;250;250
SP;São José do Rio Preto;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;80,61954132;3483651;43211;43211
SP;Birigui;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;70,97605792;2588000;36463;36463
SP;Catanduva;Quantidade Produzida;Q3;1990;BRASIL;BRASIL;Cana-de-Açúcar;72,93381645;4619555;63339;63339
SP;São Joaquim da Barra;Quantidade Produzida;Q3;1990;BRASIL;BRASIL;Cana-de-Açúcar;84,58909495;7316280;86492;86492
SP;Fernandópolis;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;76,36270598;440231;5765;5765
